,SPY,EFA,VNQ,HYG,DBC,TLT,TIP,LQD,GLD,UUP
SPY,1.0,0.9375613635072508,0.818007072966678,0.706208124438054,0.590504444269527,-0.4267520370186474,-0.10913407706082734,0.3100679665092673,0.04596446089820738,-0.23640471693144158
EFA,0.9375613635072508,1.0,0.7833754686681048,0.6947313568099099,0.5984532924649697,-0.4142404502164743,-0.09132454847456109,0.34492980741364554,0.10131535200322836,-0.3944683803699955
VNQ,0.818007072966678,0.7833754686681048,1.0,0.5516563699839979,0.47624195943663133,-0.34248082739550406,-0.12508890318705465,0.18477501702563237,0.031837198994690695,-0.2520170491198674
HYG,0.706208124438054,0.6947313568099099,0.5516563699839979,1.0,0.4658028512558372,-0.2897025738878117,0.042512440499150886,0.5330764929287949,-0.03182669767494041,-0.19136176140891634
DBC,0.590504444269527,0.5984532924649697,0.47624195943663133,0.4658028512558372,1.0,-0.32324671206731226,0.026406151801909486,0.24650093564049247,0.3137579736479322,-0.28364694743663044
TLT,-0.4267520370186474,-0.4142404502164743,-0.34248082739550406,-0.2897025738878117,-0.32324671206731226,1.0,0.605146752920708,0.21286303461597963,0.13730600486170275,0.03309512916602234
TIP,-0.10913407706082734,-0.09132454847456109,-0.12508890318705465,0.042512440499150886,0.026406151801909486,0.605146752920708,1.0,0.3092078422431471,0.24575359362995083,-0.0934957288459448
LQD,0.3100679665092673,0.34492980741364554,0.18477501702563237,0.5330764929287949,0.24650093564049247,0.21286303461597963,0.3092078422431471,1.0,0.07818366721351641,-0.09247374557288754
GLD,0.04596446089820738,0.10131535200322836,0.031837198994690695,-0.03182669767494041,0.3137579736479322,0.13730600486170275,0.24575359362995083,0.07818366721351641,1.0,-0.31045937828410447
UUP,-0.23640471693144158,-0.3944683803699955,-0.2520170491198674,-0.19136176140891634,-0.28364694743663044,0.03309512916602234,-0.0934957288459448,-0.09247374557288754,-0.31045937828410447,1.0
